"Population by Educational Attainment","Number"
"Beginners",""
"Female","507"
"Male","557"
"","1064"
"Graduate and Equivalent",""
"Female","11"
"Male","108"
"","119"
"Intermediate and Equivalent",""
"Female","135"
"Male","347"
"","482"
"Level not Stated",""
"Female","33"
"Male","26"
"","59"
"Lower Secondary (Class 6-8)",""
"Female","666"
"Male","1273"
"","1939"
"Non Formal Education",""
"Female","233"
"Male","173"
"","406"
"Others",""
"Female","4"
"Male","7"
"","11"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","22"
"","22"
"Primary Education (1-5 Class)",""
"Female","2355"
"Male","3149"
"","5504"
"Secondary Level (Class 9-10)",""
"Female","324"
"Male","788"
"","1112"
"SLC and Equivalent",""
"Female","118"
"Male","285"
"","403"
