"Population by disability type","Number"
"Blind/low vision",""
"Female","76"
"Male","74"
"","150"
"Deaf/hard of hearing",""
"Female","48"
"Male","35"
"","83"
"Deaf-Blind",""
"Female","2"
"Male","4"
"","6"
"Intellectual disable",""
"Female","5"
"Male","7"
"","12"
"Mental disable",""
"Female","13"
"Male","22"
"","35"
"Multiple disable",""
"Female","22"
"Male","9"
"","31"
"No disability",""
"Female","10730"
"Male","9975"
"","20705"
"Physical",""
"Female","225"
"Male","218"
"","443"
"Speech problem",""
"Female","18"
"Male","27"
"","45"
