"Population by Educational Attainment","Number"
"Beginners",""
"Female","278"
"Male","308"
"","586"
"Graduate and Equivalent",""
"Female","21"
"Male","72"
"","93"
"Intermediate and Equivalent",""
"Female","165"
"Male","232"
"","397"
"Level not Stated",""
"Female","60"
"Male","52"
"","112"
"Lower Secondary (Class 6-8)",""
"Female","1664"
"Male","1614"
"","3278"
"Non Formal Education",""
"Female","409"
"Male","358"
"","767"
"Others",""
"Female","5"
"Male","9"
"","14"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","13"
"","16"
"Primary Education (1-5 Class)",""
"Female","2831"
"Male","2896"
"","5727"
"Secondary Level (Class 9-10)",""
"Female","885"
"Male","977"
"","1862"
"SLC and Equivalent",""
"Female","393"
"Male","535"
"","928"
