"Population by disability type","Number"
"Blind/low vision",""
"Female","45"
"Male","50"
"","95"
"Deaf/hard of hearing",""
"Female","37"
"Male","34"
"","71"
"Deaf-Blind",""
"Female","2"
"Male","2"
"","4"
"Intellectual disable",""
"Female","1"
"Male","5"
"","6"
"Mental disable",""
"Female","6"
"Male","6"
"","12"
"Multiple disable",""
"Female","15"
"Male","10"
"","25"
"No disability",""
"Female","9797"
"Male","8502"
"","18299"
"Physical",""
"Female","65"
"Male","87"
"","152"
"Speech problem",""
"Female","15"
"Male","17"
"","32"
