"Population by disability type","Number"
"Blind/low vision",""
"Female","44"
"Male","56"
"","100"
"Deaf/hard of hearing",""
"Female","25"
"Male","22"
"","47"
"Deaf-Blind",""
"Female","1"
"Male","3"
"","4"
"Intellectual disable",""
"Female","5"
"Male","4"
"","9"
"Mental disable",""
"Female","11"
"Male","13"
"","24"
"Multiple disable",""
"Female","8"
"Male","20"
"","28"
"No disability",""
"Female","11775"
"Male","10901"
"","22676"
"Physical",""
"Female","47"
"Male","79"
"","126"
"Speech problem",""
"Female","14"
"Male","18"
"","32"
