"Population by disability type","Number"
"Blind/low vision",""
"Female","144"
"Male","137"
"","281"
"Deaf/hard of hearing",""
"Female","69"
"Male","84"
"","153"
"Deaf-Blind",""
"Female","17"
"Male","9"
"","26"
"Intellectual disable",""
"Female","4"
"Male","11"
"","15"
"Mental disable",""
"Female","53"
"Male","69"
"","122"
"Multiple disable",""
"Female","42"
"Male","59"
"","101"
"No disability",""
"Female","52916"
"Male","50322"
"","103238"
"Physical",""
"Female","206"
"Male","323"
"","529"
"Speech problem",""
"Female","61"
"Male","73"
"","134"
