"Population by disability type","Number"
"Blind/low vision",""
"Female","633"
"Male","577"
"","1210"
"Deaf/hard of hearing",""
"Female","543"
"Male","698"
"","1241"
"Deaf-Blind",""
"Female","41"
"Male","37"
"","78"
"Intellectual disable",""
"Female","44"
"Male","55"
"","99"
"Mental disable",""
"Female","84"
"Male","84"
"","168"
"Multiple disable",""
"Female","151"
"Male","184"
"","335"
"No disability",""
"Female","66405"
"Male","61858"
"","128263"
"Physical",""
"Female","1007"
"Male","1358"
"","2365"
"Speech problem",""
"Female","168"
"Male","227"
"","395"
