"Population by Educational Attainment","Number"
"Beginners",""
"Female","401"
"Male","476"
"","877"
"Graduate and Equivalent",""
"Female","20"
"Male","45"
"","65"
"Intermediate and Equivalent",""
"Female","96"
"Male","177"
"","273"
"Level not Stated",""
"Female","25"
"Male","23"
"","48"
"Lower Secondary (Class 6-8)",""
"Female","1383"
"Male","1698"
"","3081"
"Non Formal Education",""
"Female","358"
"Male","242"
"","600"
"Others",""
"Female","6"
"Male","14"
"","20"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","6"
"","8"
"Primary Education (1-5 Class)",""
"Female","4126"
"Male","5198"
"","9324"
"Secondary Level (Class 9-10)",""
"Female","463"
"Male","629"
"","1092"
"SLC and Equivalent",""
"Female","179"
"Male","329"
"","508"
