"Population by Single Year of Age","Number"
"0",""
"Female","273"
"Male","265"
"1",""
"Female","229"
"Male","249"
"10",""
"Female","300"
"Male","319"
"11",""
"Female","207"
"Male","209"
"12",""
"Female","296"
"Male","318"
"13",""
"Female","271"
"Male","250"
"14",""
"Female","242"
"Male","292"
"15",""
"Female","217"
"Male","210"
"16",""
"Female","226"
"Male","234"
"17",""
"Female","139"
"Male","144"
"18",""
"Female","259"
"Male","265"
"19",""
"Female","123"
"Male","156"
"2",""
"Female","328"
"Male","345"
"20",""
"Female","241"
"Male","206"
"21",""
"Female","145"
"Male","159"
"22",""
"Female","206"
"Male","174"
"23",""
"Female","136"
"Male","164"
"24",""
"Female","149"
"Male","155"
"25",""
"Female","234"
"Male","255"
"26",""
"Female","167"
"Male","191"
"27",""
"Female","102"
"Male","180"
"28",""
"Female","189"
"Male","210"
"29",""
"Female","67"
"Male","101"
"3",""
"Female","307"
"Male","393"
"30",""
"Female","246"
"Male","238"
"31",""
"Female","57"
"Male","81"
"32",""
"Female","145"
"Male","144"
"33",""
"Female","70"
"Male","98"
"34",""
"Female","76"
"Male","88"
"35",""
"Female","214"
"Male","244"
"36",""
"Female","98"
"Male","120"
"37",""
"Female","68"
"Male","78"
"38",""
"Female","126"
"Male","137"
"39",""
"Female","54"
"Male","55"
"4",""
"Female","376"
"Male","376"
"40",""
"Female","195"
"Male","211"
"41",""
"Female","42"
"Male","54"
"42",""
"Female","76"
"Male","91"
"43",""
"Female","40"
"Male","53"
"44",""
"Female","35"
"Male","57"
"45",""
"Female","159"
"Male","144"
"46",""
"Female","49"
"Male","79"
"47",""
"Female","37"
"Male","58"
"48",""
"Female","78"
"Male","116"
"49",""
"Female","26"
"Male","45"
"5",""
"Female","306"
"Male","319"
"50",""
"Female","159"
"Male","130"
"51",""
"Female","22"
"Male","32"
"52",""
"Female","40"
"Male","50"
"53",""
"Female","34"
"Male","41"
"54",""
"Female","36"
"Male","36"
"55",""
"Female","91"
"Male","86"
"56",""
"Female","38"
"Male","64"
"57",""
"Female","23"
"Male","39"
"58",""
"Female","53"
"Male","72"
"59",""
"Female","31"
"Male","37"
"6",""
"Female","287"
"Male","288"
"60",""
"Female","142"
"Male","98"
"61",""
"Female","71"
"Male","56"
"62",""
"Female","73"
"Male","62"
"63",""
"Female","47"
"Male","46"
"64",""
"Female","27"
"Male","32"
"65",""
"Female","105"
"Male","74"
"66",""
"Female","20"
"Male","25"
"67",""
"Female","13"
"Male","13"
"68",""
"Female","20"
"Male","24"
"69",""
"Female","3"
"Male","12"
"7",""
"Female","259"
"Male","281"
"70",""
"Female","47"
"Male","44"
"71",""
"Female","5"
"Male","5"
"72",""
"Female","5"
"Male","10"
"73",""
"Female","2"
"Male","4"
"74",""
"Female","1"
"Male","5"
"75",""
"Female","13"
"Male","20"
"76",""
"Female","1"
"Male","3"
"77",""
"Female","1"
"Male","1"
"78",""
"Female","2"
"Male","4"
"79",""
"Female","1"
"Male","0"
"8",""
"Female","299"
"Male","303"
"80",""
"Female","8"
"Male","17"
"81",""
"Female","3"
"Male","3"
"82",""
"Female","4"
"Male","3"
"83",""
"Female","0"
"Male","3"
"84",""
"Female","0"
"Male","7"
"85",""
"Female","4"
"Male","13"
"9",""
"Female","237"
"Male","231"
