"Population by disability type","Number"
"Blind/low vision",""
"Female","49"
"Male","53"
"","102"
"Deaf/hard of hearing",""
"Female","28"
"Male","35"
"","63"
"Deaf-Blind",""
"Female","3"
"Male","5"
"","8"
"Intellectual disable",""
"Female","5"
"Male","14"
"","19"
"Mental disable",""
"Female","21"
"Male","41"
"","62"
"Multiple disable",""
"Female","9"
"Male","19"
"","28"
"No disability",""
"Female","28723"
"Male","27458"
"","56181"
"Physical",""
"Female","113"
"Male","165"
"","278"
"Speech problem",""
"Female","42"
"Male","62"
"","104"
