"Population by Educational Attainment","Number"
"Beginners",""
"Female","1252"
"Male","1548"
"","2800"
"Graduate and Equivalent",""
"Female","145"
"Male","428"
"","573"
"Intermediate and Equivalent",""
"Female","556"
"Male","1027"
"","1583"
"Level not Stated",""
"Female","44"
"Male","34"
"","78"
"Lower Secondary (Class 6-8)",""
"Female","3144"
"Male","4579"
"","7723"
"Non Formal Education",""
"Female","363"
"Male","273"
"","636"
"Others",""
"Female","7"
"Male","14"
"","21"
"Post Graduate Equivalent and Above",""
"Female","31"
"Male","160"
"","191"
"Primary Education (1-5 Class)",""
"Female","6666"
"Male","7897"
"","14563"
"Secondary Level (Class 9-10)",""
"Female","1603"
"Male","2945"
"","4548"
"SLC and Equivalent",""
"Female","875"
"Male","1448"
"","2323"
