"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","85"
"Male","102"
"","187"
"Badi",""
"Female","13"
"Male","5"
"","18"
"Bangali",""
"Female","30"
"Male","21"
"","51"
"Baraee",""
"Female","55"
"Male","60"
"","115"
"Brahman - Hill",""
"Female","1631"
"Male","1578"
"","3209"
"Brahman - Tarai",""
"Female","86"
"Male","82"
"","168"
"Chamar/ Harijan/ Ram",""
"Female","2428"
"Male","2408"
"","4836"
"Chhetri",""
"Female","717"
"Male","648"
"","1365"
"Damai/Dholi",""
"Female","166"
"Male","148"
"","314"
"Darai",""
"Female","25"
"Male","14"
"","39"
"Dhandi",""
"Female","58"
"Male","63"
"","121"
"Dhankar/ Dharikar",""
"Female","54"
"Male","64"
"","118"
"Dhobi",""
"Female","847"
"Male","824"
"","1671"
"Dhunia",""
"Female","40"
"Male","39"
"","79"
"Dom",""
"Female","19"
"Male","21"
"","40"
"Dusadh/ Pasawan/ Pasi",""
"Female","824"
"Male","798"
"","1622"
"Gaderi/Bhedihar",""
"Female","28"
"Male","30"
"","58"
"Gangai",""
"Female","14"
"Male","8"
"","22"
"Gharti/Bhujel",""
"Female","12"
"Male","12"
"","24"
"Gurung",""
"Female","79"
"Male","76"
"","155"
"Hajam/Thakur",""
"Female","388"
"Male","359"
"","747"
"Halwai",""
"Female","302"
"Male","305"
"","607"
"Kahar",""
"Female","919"
"Male","884"
"","1803"
"Kalwar",""
"Female","158"
"Male","144"
"","302"
"Kamar",""
"Female","10"
"Male","8"
"","18"
"Kami",""
"Female","404"
"Male","411"
"","815"
"Kanu",""
"Female","5"
"Male","15"
"","20"
"Kathabaniyan",""
"Female","790"
"Male","850"
"","1640"
"Kayastha",""
"Female","50"
"Male","52"
"","102"
"Kewat",""
"Female","2196"
"Male","2052"
"","4248"
"Khawas",""
"Female","71"
"Male","72"
"","143"
"Koiri/Kushwaha",""
"Female","389"
"Male","414"
"","803"
"Kumal",""
"Female","41"
"Male","41"
"","82"
"Kumhar",""
"Female","122"
"Male","132"
"","254"
"Kurmi",""
"Female","619"
"Male","595"
"","1214"
"Limbu",""
"Female","13"
"Male","9"
"","22"
"Lodh",""
"Female","14"
"Male","13"
"","27"
"Lohar",""
"Female","129"
"Male","113"
"","242"
"Magar",""
"Female","556"
"Male","497"
"","1053"
"Majhi",""
"Female","9"
"Male","9"
"","18"
"Mali",""
"Female","28"
"Male","31"
"","59"
"Mallaha",""
"Female","184"
"Male","168"
"","352"
"Marwadi",""
"Female","45"
"Male","49"
"","94"
"Musahar",""
"Female","87"
"Male","84"
"","171"
"Musalman",""
"Female","1771"
"Male","1636"
"","3407"
"Natuwa",""
"Female","45"
"Male","40"
"","85"
"Newar",""
"Female","211"
"Male","201"
"","412"
"Nuniya",""
"Female","17"
"Male","23"
"","40"
"Others",""
"Female","31"
"Male","25"
"","56"
"Pattharkatta/ Kushwadiya",""
"Female","46"
"Male","41"
"","87"
"Rai",""
"Female","32"
"Male","24"
"","56"
"Rajbhar",""
"Female","327"
"Male","306"
"","633"
"Rajdhob",""
"Female","4"
"Male","7"
"","11"
"Rajput",""
"Female","55"
"Male","50"
"","105"
"Sanyasi/Dasnami",""
"Female","214"
"Male","199"
"","413"
"Sarki",""
"Female","43"
"Male","43"
"","86"
"Satar/ Santhal",""
"Female","64"
"Male","67"
"","131"
"Sonar",""
"Female","33"
"Male","36"
"","69"
"Sudhi",""
"Female","3"
"Male","8"
"","11"
"Sunuwar",""
"Female","16"
"Male","9"
"","25"
"Tamang",""
"Female","124"
"Male","126"
"","250"
"Teli",""
"Female","1104"
"Male","1087"
"","2191"
"Terai Others",""
"Female","350"
"Male","316"
"","666"
"Thakuri",""
"Female","167"
"Male","138"
"","305"
"Tharu",""
"Female","6564"
"Male","6105"
"","12669"
"Yadav",""
"Female","2990"
"Male","3023"
"","6013"
"Yakkha",""
"Female","42"
"Male","34"
"","76"
