"Population by Educational Attainment","Number"
"Beginners",""
"Female","219"
"Male","221"
"","440"
"Graduate and Equivalent",""
"Female","53"
"Male","101"
"","154"
"Intermediate and Equivalent",""
"Female","324"
"Male","330"
"","654"
"Level not Stated",""
"Female","14"
"Male","14"
"","28"
"Lower Secondary (Class 6-8)",""
"Female","1282"
"Male","1588"
"","2870"
"Non Formal Education",""
"Female","649"
"Male","615"
"","1264"
"Others",""
"Female","5"
"Male","12"
"","17"
"Post Graduate Equivalent and Above",""
"Female","9"
"Male","59"
"","68"
"Primary Education (1-5 Class)",""
"Female","3468"
"Male","4107"
"","7575"
"Secondary Level (Class 9-10)",""
"Female","586"
"Male","795"
"","1381"
"SLC and Equivalent",""
"Female","454"
"Male","670"
"","1124"
