"Population by disability type","Number"
"Blind/low vision",""
"Female","47"
"Male","48"
"","95"
"Deaf/hard of hearing",""
"Female","82"
"Male","116"
"","198"
"Deaf-Blind",""
"Female","11"
"Male","11"
"","22"
"Intellectual disable",""
"Female","11"
"Male","8"
"","19"
"Mental disable",""
"Female","21"
"Male","17"
"","38"
"Multiple disable",""
"Female","35"
"Male","43"
"","78"
"No disability",""
"Female","13291"
"Male","12452"
"","25743"
"Physical",""
"Female","91"
"Male","154"
"","245"
"Speech problem",""
"Female","42"
"Male","55"
"","97"
