"Population by disability type","Number"
"Blind/low vision",""
"Female","53"
"Male","44"
"","97"
"Deaf/hard of hearing",""
"Female","44"
"Male","33"
"","77"
"Deaf-Blind",""
"Female","5"
"Male","4"
"","9"
"Intellectual disable",""
"Female","3"
"Male","4"
"","7"
"Mental disable",""
"Female","7"
"Male","7"
"","14"
"Multiple disable",""
"Female","12"
"Male","7"
"","19"
"No disability",""
"Female","8397"
"Male","7493"
"","15890"
"Physical",""
"Female","89"
"Male","75"
"","164"
"Speech problem",""
"Female","7"
"Male","12"
"","19"
