"Population by disability type","Number"
"Blind/low vision",""
"Female","26"
"Male","21"
"","47"
"Deaf/hard of hearing",""
"Female","24"
"Male","6"
"","30"
"Deaf-Blind",""
"Female","2"
"Male","1"
"","3"
"Intellectual disable",""
"Female","1"
"Male","4"
"","5"
"Mental disable",""
"Female","3"
"Male","2"
"","5"
"Multiple disable",""
"Female","9"
"Male","11"
"","20"
"No disability",""
"Female","2706"
"Male","2619"
"","5325"
"Physical",""
"Female","12"
"Male","26"
"","38"
"Speech problem",""
"Female","10"
"Male","7"
"","17"
