"Population by Caste/Ethinicity","Number"
"Amat",""
"Female","447"
"Male","417"
"Badhaee",""
"Female","838"
"Male","778"
"Badi",""
"Female","17"
"Male","13"
"Bahing",""
"Female","89"
"Male","80"
"Bangali",""
"Female","719"
"Male","753"
"Bantaba",""
"Female","12"
"Male","12"
"Bantar/Sardar",""
"Female","7377"
"Male","6921"
"Baraee",""
"Female","1972"
"Male","1969"
"Bhote",""
"Female","11"
"Male","12"
"Brahman - Hill",""
"Female","4367"
"Male","3869"
"Brahman - Tarai",""
"Female","4237"
"Male","4484"
"Byasi/Sauka",""
"Female","45"
"Male","45"
"Chamar/ Harijan/ Ram",""
"Female","14287"
"Male","13407"
"Chhetri",""
"Female","4640"
"Male","4037"
"Dalit Others",""
"Female","30"
"Male","28"
"Damai/Dholi",""
"Female","509"
"Male","458"
"Danuwar",""
"Female","601"
"Male","491"
"Dev",""
"Female","547"
"Male","595"
"Dhanuk",""
"Female","21070"
"Male","20622"
"Dhimal",""
"Female","27"
"Male","30"
"Dhobi",""
"Female","2827"
"Male","2749"
"Dhunia",""
"Female","7"
"Male","8"
"Dom",""
"Female","938"
"Male","933"
"Dura",""
"Female","5"
"Male","9"
"Dusadh/ Pasawan/ Pasi",""
"Female","5567"
"Male","5414"
"Foreigner",""
"Female","70"
"Male","77"
"Gaderi/Bhedihar",""
"Female","772"
"Male","761"
"Ghale",""
"Female","182"
"Male","194"
"Gharti/Bhujel",""
"Female","368"
"Male","362"
"Gurung",""
"Female","68"
"Male","60"
"Hajam/Thakur",""
"Female","5040"
"Male","4734"
"Halkhor",""
"Female","68"
"Male","86"
"Halwai",""
"Female","5598"
"Male","5766"
"Janajati Others",""
"Female","26"
"Male","18"
"Kalar",""
"Female","79"
"Male","84"
"Kalwar",""
"Female","2515"
"Male","2399"
"Kamar",""
"Female","59"
"Male","49"
"Kami",""
"Female","2484"
"Male","2320"
"Kanu",""
"Female","20"
"Male","22"
"Kathabaniyan",""
"Female","7302"
"Male","7563"
"Kayastha",""
"Female","885"
"Male","849"
"Kewat",""
"Female","906"
"Male","852"
"Khatwe",""
"Female","19466"
"Male","18476"
"Khawas",""
"Female","89"
"Male","94"
"Koiri/Kushwaha",""
"Female","3156"
"Male","3290"
"Kumal",""
"Female","500"
"Male","516"
"Kumhar",""
"Female","2994"
"Male","2928"
"Kurmi",""
"Female","165"
"Male","156"
"Lepcha",""
"Female","14"
"Male","21"
"Lhomi",""
"Female","66"
"Male","46"
"Limbu",""
"Female","219"
"Male","187"
"Lodh",""
"Female","17"
"Male","15"
"Lohar",""
"Female","236"
"Male","268"
"Magar",""
"Female","1886"
"Male","1720"
"Majhi",""
"Female","85"
"Male","86"
"Mali",""
"Female","503"
"Male","486"
"Mallaha",""
"Female","6761"
"Male","6903"
"Marwadi",""
"Female","368"
"Male","391"
"Meche",""
"Female","88"
"Male","89"
"Mewahang Bala",""
"Female","7"
"Male","8"
"Musahar",""
"Female","19295"
"Male","19327"
"Musalman",""
"Female","29913"
"Male","27044"
"Nachhiring",""
"Female","6"
"Male","5"
"Newar",""
"Female","1395"
"Male","1198"
"Nuniya",""
"Female","726"
"Male","705"
"Others",""
"Female","651"
"Male","445"
"Punjabi/Sikh",""
"Female","307"
"Male","267"
"Rai",""
"Female","981"
"Male","887"
"Rajbansi",""
"Female","103"
"Male","100"
"Rajbhar",""
"Female","488"
"Male","527"
"Rajdhob",""
"Female","5883"
"Male","5926"
"Rajput",""
"Female","1948"
"Male","2092"
"Sanyasi/Dasnami",""
"Female","431"
"Male","465"
"Sarbaria",""
"Female","25"
"Male","30"
"Sarki",""
"Female","331"
"Male","325"
"Satar/ Santhal",""
"Female","40"
"Male","40"
"Sonar",""
"Female","1060"
"Male","1044"
"Sudhi",""
"Female","1046"
"Male","1046"
"Sunuwar",""
"Female","812"
"Male","742"
"Tamang",""
"Female","782"
"Male","789"
"Tatma/Tatwa",""
"Female","4983"
"Male","4765"
"Teli",""
"Female","23633"
"Male","23024"
"Terai Others",""
"Female","6223"
"Male","6301"
"Thakuri",""
"Female","54"
"Male","45"
"Tharu",""
"Female","39496"
"Male","34096"
"Thulung",""
"Female","7"
"Male","6"
"Undefined Others",""
"Female","578"
"Male","556"
"Yadav",""
"Female","49821"
"Male","50749"
"Yakkha",""
"Female","11"
"Male","11"
