"Population by disability type","Number"
"Blind/low vision",""
"Female","94"
"Male","92"
"","186"
"Deaf/hard of hearing",""
"Female","93"
"Male","88"
"","181"
"Deaf-Blind",""
"Female","7"
"Male","7"
"","14"
"Intellectual disable",""
"Female","5"
"Male","9"
"","14"
"Mental disable",""
"Female","23"
"Male","35"
"","58"
"Multiple disable",""
"Female","31"
"Male","47"
"","78"
"No disability",""
"Female","23088"
"Male","20194"
"","43282"
"Physical",""
"Female","165"
"Male","227"
"","392"
"Speech problem",""
"Female","46"
"Male","65"
"","111"
