"Population by disability type","Number"
"Blind/low vision",""
"Female","75"
"Male","59"
"","134"
"Deaf/hard of hearing",""
"Female","42"
"Male","45"
"","87"
"Deaf-Blind",""
"Female","8"
"Male","8"
"","16"
"Intellectual disable",""
"Female","1"
"Male","9"
"","10"
"Mental disable",""
"Female","13"
"Male","16"
"","29"
"Multiple disable",""
"Female","12"
"Male","8"
"","20"
"No disability",""
"Female","7167"
"Male","6476"
"","13643"
"Physical",""
"Female","66"
"Male","77"
"","143"
"Speech problem",""
"Female","17"
"Male","30"
"","47"
