"Population by disability type","Number"
"Blind/low vision",""
"Female","61"
"Male","46"
"","107"
"Deaf/hard of hearing",""
"Female","38"
"Male","43"
"","81"
"Deaf-Blind",""
"Female","3"
"Male","3"
"","6"
"Intellectual disable",""
"Female","9"
"Male","7"
"","16"
"Mental disable",""
"Female","17"
"Male","23"
"","40"
"Multiple disable",""
"Female","18"
"Male","29"
"","47"
"No disability",""
"Female","9315"
"Male","8397"
"","17712"
"Physical",""
"Female","94"
"Male","138"
"","232"
"Speech problem",""
"Female","25"
"Male","15"
"","40"
