"Population by Educational Attainment","Number"
"Beginners",""
"Female","204"
"Male","268"
"","472"
"Graduate and Equivalent",""
"Female","46"
"Male","88"
"","134"
"Intermediate and Equivalent",""
"Female","261"
"Male","233"
"","494"
"Level not Stated",""
"Female","6"
"Male","14"
"","20"
"Lower Secondary (Class 6-8)",""
"Female","1444"
"Male","1448"
"","2892"
"Non Formal Education",""
"Female","146"
"Male","196"
"","342"
"Others",""
"Female","1"
"Male","2"
"","3"
"Post Graduate Equivalent and Above",""
"Female","7"
"Male","21"
"","28"
"Primary Education (1-5 Class)",""
"Female","2459"
"Male","2771"
"","5230"
"Secondary Level (Class 9-10)",""
"Female","807"
"Male","846"
"","1653"
"SLC and Equivalent",""
"Female","696"
"Male","660"
"","1356"
