"Population by disability type","Number"
"Blind/low vision",""
"Female","275"
"Male","303"
"","578"
"Deaf/hard of hearing",""
"Female","370"
"Male","492"
"","862"
"Deaf-Blind",""
"Female","19"
"Male","32"
"","51"
"Intellectual disable",""
"Female","16"
"Male","28"
"","44"
"Mental disable",""
"Female","57"
"Male","53"
"","110"
"Multiple disable",""
"Female","69"
"Male","81"
"","150"
"No disability",""
"Female","52515"
"Male","51772"
"","104287"
"Physical",""
"Female","425"
"Male","613"
"","1038"
"Speech problem",""
"Female","153"
"Male","222"
"","375"
