"Population by disability type","Number"
"Blind/low vision",""
"Female","368"
"Male","378"
"","746"
"Deaf/hard of hearing",""
"Female","373"
"Male","354"
"","727"
"Deaf-Blind",""
"Female","45"
"Male","36"
"","81"
"Intellectual disable",""
"Female","107"
"Male","164"
"","271"
"Mental disable",""
"Female","188"
"Male","207"
"","395"
"Multiple disable",""
"Female","157"
"Male","185"
"","342"
"No disability",""
"Female","108966"
"Male","82778"
"","191744"
"Physical",""
"Female","878"
"Male","1121"
"","1999"
"Speech problem",""
"Female","263"
"Male","327"
"","590"
