"Population by disability type","Number"
"Blind/low vision",""
"Female","41"
"Male","66"
"","107"
"Deaf/hard of hearing",""
"Female","52"
"Male","49"
"","101"
"Deaf-Blind",""
"Female","6"
"Male","4"
"","10"
"Intellectual disable",""
"Female","12"
"Male","11"
"","23"
"Mental disable",""
"Female","33"
"Male","36"
"","69"
"Multiple disable",""
"Female","36"
"Male","46"
"","82"
"No disability",""
"Female","18254"
"Male","13797"
"","32051"
"Physical",""
"Female","96"
"Male","122"
"","218"
"Speech problem",""
"Female","63"
"Male","78"
"","141"
