"Population by disability type","Number"
"Blind/low vision",""
"Female","71"
"Male","57"
"","128"
"Deaf/hard of hearing",""
"Female","65"
"Male","77"
"","142"
"Deaf-Blind",""
"Female","8"
"Male","3"
"","11"
"Intellectual disable",""
"Female","3"
"Male","5"
"","8"
"Mental disable",""
"Female","10"
"Male","14"
"","24"
"Multiple disable",""
"Female","17"
"Male","12"
"","29"
"No disability",""
"Female","10951"
"Male","9719"
"","20670"
"Physical",""
"Female","120"
"Male","133"
"","253"
"Speech problem",""
"Female","16"
"Male","26"
"","42"
