"Population by disability type","Number"
"Blind/low vision",""
"Female","50"
"Male","48"
"","98"
"Deaf/hard of hearing",""
"Female","40"
"Male","41"
"","81"
"Deaf-Blind",""
"Female","2"
"Male","3"
"","5"
"Intellectual disable",""
"Female","8"
"Male","8"
"","16"
"Mental disable",""
"Female","8"
"Male","12"
"","20"
"Multiple disable",""
"Female","11"
"Male","20"
"","31"
"No disability",""
"Female","11121"
"Male","10398"
"","21519"
"Physical",""
"Female","97"
"Male","122"
"","219"
"Speech problem",""
"Female","21"
"Male","23"
"","44"
