"Population by disability type","Number"
"Blind/low vision",""
"Female","52"
"Male","36"
"","88"
"Deaf/hard of hearing",""
"Female","26"
"Male","26"
"","52"
"Deaf-Blind",""
"Female","3"
"Male","1"
"","4"
"Intellectual disable",""
"Female","5"
"Male","4"
"","9"
"Mental disable",""
"Female","12"
"Male","15"
"","27"
"Multiple disable",""
"Female","10"
"Male","22"
"","32"
"No disability",""
"Female","9045"
"Male","6736"
"","15781"
"Physical",""
"Female","52"
"Male","81"
"","133"
"Speech problem",""
"Female","22"
"Male","31"
"","53"
