"Population by Educational Attainment","Number"
"Beginners",""
"Female","258"
"Male","272"
"","530"
"Graduate and Equivalent",""
"Female","11"
"Male","47"
"","58"
"Intermediate and Equivalent",""
"Female","100"
"Male","156"
"","256"
"Level not Stated",""
"Female","25"
"Male","30"
"","55"
"Lower Secondary (Class 6-8)",""
"Female","1104"
"Male","1453"
"","2557"
"Non Formal Education",""
"Female","247"
"Male","147"
"","394"
"Others",""
"Female","2"
"Male","4"
"","6"
"Post Graduate Equivalent and Above",""
"Female","8"
"Male","11"
"","19"
"Primary Education (1-5 Class)",""
"Female","3163"
"Male","3605"
"","6768"
"Secondary Level (Class 9-10)",""
"Female","348"
"Male","519"
"","867"
"SLC and Equivalent",""
"Female","191"
"Male","269"
"","460"
