"Population by disability type","Number"
"Blind/low vision",""
"Female","34"
"Male","52"
"","86"
"Deaf/hard of hearing",""
"Female","38"
"Male","50"
"","88"
"Deaf-Blind",""
"Female","4"
"Male","3"
"","7"
"Intellectual disable",""
"Female","4"
"Male","2"
"","6"
"Mental disable",""
"Female","7"
"Male","16"
"","23"
"Multiple disable",""
"Female","31"
"Male","29"
"","60"
"No disability",""
"Female","10516"
"Male","9719"
"","20235"
"Physical",""
"Female","97"
"Male","142"
"","239"
"Speech problem",""
"Female","26"
"Male","32"
"","58"
