"Population by Educational Attainment","Number"
"Beginners",""
"Female","120"
"Male","100"
"Graduate and Equivalent",""
"Female","45"
"Male","96"
"Intermediate and Equivalent",""
"Female","248"
"Male","260"
"Level not Stated",""
"Female","17"
"Male","18"
"Lower Secondary (Class 6-8)",""
"Female","1821"
"Male","1493"
"Non Formal Education",""
"Female","416"
"Male","416"
"Others",""
"Female","5"
"Male","4"
"Post Graduate Equivalent and Above",""
"Female","14"
"Male","30"
"Primary Education (1-5 Class)",""
"Female","2255"
"Male","2207"
"Secondary Level (Class 9-10)",""
"Female","1021"
"Male","1065"
"SLC and Equivalent",""
"Female","477"
"Male","547"
