"Population by Single Year of Age","Number"
"0",""
"Female","300"
"Male","307"
"1",""
"Female","290"
"Male","303"
"10",""
"Female","705"
"Male","777"
"11",""
"Female","298"
"Male","284"
"12",""
"Female","570"
"Male","675"
"13",""
"Female","314"
"Male","349"
"14",""
"Female","428"
"Male","406"
"15",""
"Female","415"
"Male","454"
"16",""
"Female","344"
"Male","435"
"17",""
"Female","201"
"Male","296"
"18",""
"Female","378"
"Male","499"
"19",""
"Female","127"
"Male","185"
"2",""
"Female","396"
"Male","402"
"20",""
"Female","455"
"Male","450"
"21",""
"Female","134"
"Male","161"
"22",""
"Female","354"
"Male","309"
"23",""
"Female","191"
"Male","148"
"24",""
"Female","254"
"Male","187"
"25",""
"Female","532"
"Male","482"
"26",""
"Female","206"
"Male","182"
"27",""
"Female","181"
"Male","166"
"28",""
"Female","414"
"Male","259"
"29",""
"Female","78"
"Male","76"
"3",""
"Female","434"
"Male","424"
"30",""
"Female","653"
"Male","551"
"31",""
"Female","68"
"Male","72"
"32",""
"Female","291"
"Male","201"
"33",""
"Female","155"
"Male","90"
"34",""
"Female","137"
"Male","97"
"35",""
"Female","578"
"Male","538"
"36",""
"Female","180"
"Male","143"
"37",""
"Female","123"
"Male","101"
"38",""
"Female","255"
"Male","174"
"39",""
"Female","49"
"Male","54"
"4",""
"Female","367"
"Male","417"
"40",""
"Female","621"
"Male","554"
"41",""
"Female","43"
"Male","60"
"42",""
"Female","199"
"Male","168"
"43",""
"Female","117"
"Male","54"
"44",""
"Female","66"
"Male","59"
"45",""
"Female","477"
"Male","563"
"46",""
"Female","70"
"Male","46"
"47",""
"Female","83"
"Male","58"
"48",""
"Female","181"
"Male","135"
"49",""
"Female","43"
"Male","36"
"5",""
"Female","505"
"Male","497"
"50",""
"Female","415"
"Male","486"
"51",""
"Female","47"
"Male","40"
"52",""
"Female","113"
"Male","118"
"53",""
"Female","84"
"Male","44"
"54",""
"Female","41"
"Male","50"
"55",""
"Female","341"
"Male","405"
"56",""
"Female","76"
"Male","69"
"57",""
"Female","58"
"Male","47"
"58",""
"Female","122"
"Male","99"
"59",""
"Female","39"
"Male","45"
"6",""
"Female","459"
"Male","507"
"60",""
"Female","380"
"Male","398"
"61",""
"Female","38"
"Male","38"
"62",""
"Female","84"
"Male","83"
"63",""
"Female","51"
"Male","35"
"64",""
"Female","25"
"Male","23"
"65",""
"Female","256"
"Male","319"
"66",""
"Female","29"
"Male","19"
"67",""
"Female","31"
"Male","20"
"68",""
"Female","76"
"Male","61"
"69",""
"Female","13"
"Male","21"
"7",""
"Female","389"
"Male","432"
"70",""
"Female","181"
"Male","222"
"71",""
"Female","10"
"Male","23"
"72",""
"Female","43"
"Male","41"
"73",""
"Female","11"
"Male","11"
"74",""
"Female","2"
"Male","11"
"75",""
"Female","93"
"Male","119"
"76",""
"Female","4"
"Male","9"
"77",""
"Female","7"
"Male","5"
"78",""
"Female","18"
"Male","15"
"79",""
"Female","3"
"Male","5"
"8",""
"Female","574"
"Male","606"
"80",""
"Female","53"
"Male","56"
"81",""
"Female","5"
"Male","1"
"82",""
"Female","7"
"Male","7"
"83",""
"Female","3"
"Male","3"
"84",""
"Female","2"
"Male","1"
"85",""
"Female","45"
"Male","39"
"9",""
"Female","311"
"Male","308"
