"Population by disability type","Number"
"Blind/low vision",""
"Female","70"
"Male","73"
"","143"
"Deaf/hard of hearing",""
"Female","45"
"Male","42"
"","87"
"Deaf-Blind",""
"Female","8"
"Male","7"
"","15"
"Intellectual disable",""
"Female","9"
"Male","12"
"","21"
"Mental disable",""
"Female","24"
"Male","25"
"","49"
"Multiple disable",""
"Female","15"
"Male","23"
"","38"
"No disability",""
"Female","20739"
"Male","19224"
"","39963"
"Physical",""
"Female","138"
"Male","167"
"","305"
"Speech problem",""
"Female","48"
"Male","29"
"","77"
