"Population by disability type","Number"
"Blind/low vision",""
"Female","98"
"Male","92"
"","190"
"Deaf/hard of hearing",""
"Female","82"
"Male","60"
"","142"
"Deaf-Blind",""
"Female","10"
"Male","13"
"","23"
"Intellectual disable",""
"Female","23"
"Male","27"
"","50"
"Mental disable",""
"Female","48"
"Male","39"
"","87"
"Multiple disable",""
"Female","76"
"Male","73"
"","149"
"No disability",""
"Female","28996"
"Male","24546"
"","53542"
"Physical",""
"Female","144"
"Male","205"
"","349"
"Speech problem",""
"Female","71"
"Male","93"
"","164"
