"Industries Employment","Number"
"Accommodation,  food",""
"Female","248"
"Male","257"
"Administrative, support service",""
"Female","0"
"Male","0"
"Agriculture, forestry and  fishing",""
"Female","318"
"Male","164"
"Arts, entertainment, recreation",""
"Female","0"
"Male","0"
"Construction",""
"Female","1"
"Male","3"
"Education",""
"Female","206"
"Male","461"
"Electricity, gas and water",""
"Female","0"
"Male","0"
"Financial intermediation and insurance",""
"Female","5"
"Male","31"
"Health, social work",""
"Female","67"
"Male","77"
"Information and communication",""
"Female","1"
"Male","9"
"Manufacturing",""
"Female","16"
"Male","35"
"Other service activities",""
"Female","66"
"Male","481"
"Professional, scientific, techniqual activity",""
"Female","2"
"Male","9"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","9"
"Male","63"
"Water supply, wet management",""
"Female","0"
"Male","0"
"Wholesale, retail trade",""
"Female","304"
"Male","392"
