"Population by disability type","Number"
"Blind/low vision",""
"Female","40"
"Male","40"
"","80"
"Deaf/hard of hearing",""
"Female","21"
"Male","22"
"","43"
"Deaf-Blind",""
"Female","0"
"Male","3"
"","3"
"Intellectual disable",""
"Female","5"
"Male","14"
"","19"
"Mental disable",""
"Female","18"
"Male","32"
"","50"
"Multiple disable",""
"Female","18"
"Male","23"
"","41"
"No disability",""
"Female","23818"
"Male","23137"
"","46955"
"Physical",""
"Female","67"
"Male","106"
"","173"
"Speech problem",""
"Female","32"
"Male","53"
"","85"
