"Population by disability type","Number"
"Blind/low vision",""
"Female","42"
"Male","54"
"","96"
"Deaf/hard of hearing",""
"Female","45"
"Male","30"
"","75"
"Deaf-Blind",""
"Female","3"
"Male","2"
"","5"
"Intellectual disable",""
"Female","3"
"Male","8"
"","11"
"Mental disable",""
"Female","20"
"Male","12"
"","32"
"Multiple disable",""
"Female","13"
"Male","19"
"","32"
"No disability",""
"Female","8011"
"Male","6028"
"","14039"
"Physical",""
"Female","77"
"Male","105"
"","182"
"Speech problem",""
"Female","16"
"Male","31"
"","47"
