"Population by Educational Attainment","Number"
"Beginners",""
"Female","3470"
"Male","4387"
"Graduate and Equivalent",""
"Female","1377"
"Male","5317"
"Intermediate and Equivalent",""
"Female","5161"
"Male","11413"
"Level not Stated",""
"Female","1201"
"Male","1373"
"Lower Secondary (Class 6-8)",""
"Female","24438"
"Male","34393"
"Non Formal Education",""
"Female","1487"
"Male","1859"
"Others",""
"Female","319"
"Male","363"
"Post Graduate Equivalent and Above",""
"Female","167"
"Male","1485"
"Primary Education (1-5 Class)",""
"Female","56849"
"Male","68745"
"Secondary Level (Class 9-10)",""
"Female","12110"
"Male","21928"
"SLC and Equivalent",""
"Female","10806"
"Male","20053"
