"Population by Caste Ethinicity","Number"
"Bantar/Sardar",""
"Female","623"
"Male","556"
"","1179"
"Baraee",""
"Female","36"
"Male","30"
"","66"
"Brahman - Hill",""
"Female","71"
"Male","46"
"","117"
"Brahman - Tarai",""
"Female","52"
"Male","52"
"","104"
"Chamar/ Harijan/ Ram",""
"Female","1449"
"Male","1404"
"","2853"
"Chhetri",""
"Female","42"
"Male","44"
"","86"
"Dalit Others",""
"Female","9"
"Male","10"
"","19"
"Damai/Dholi",""
"Female","11"
"Male","9"
"","20"
"Danuwar",""
"Female","76"
"Male","55"
"","131"
"Dhanuk",""
"Female","491"
"Male","455"
"","946"
"Dhobi",""
"Female","80"
"Male","62"
"","142"
"Dom",""
"Female","61"
"Male","51"
"","112"
"Dusadh/ Pasawan/ Pasi",""
"Female","578"
"Male","536"
"","1114"
"Gaderi/Bhedihar",""
"Female","62"
"Male","66"
"","128"
"Hajam/Thakur",""
"Female","507"
"Male","440"
"","947"
"Halwai",""
"Female","510"
"Male","495"
"","1005"
"Kalwar",""
"Female","837"
"Male","733"
"","1570"
"Kami",""
"Female","270"
"Male","239"
"","509"
"Kathabaniyan",""
"Female","205"
"Male","200"
"","405"
"Kayastha",""
"Female","13"
"Male","13"
"","26"
"Khatwe",""
"Female","2405"
"Male","2214"
"","4619"
"Kumhar",""
"Female","11"
"Male","6"
"","17"
"Limbu",""
"Female","4"
"Male","8"
"","12"
"Lohar",""
"Female","16"
"Male","19"
"","35"
"Magar",""
"Female","23"
"Male","20"
"","43"
"Majhi",""
"Female","10"
"Male","10"
"","20"
"Mali",""
"Female","40"
"Male","38"
"","78"
"Mallaha",""
"Female","150"
"Male","139"
"","289"
"Marwadi",""
"Female","25"
"Male","25"
"","50"
"Musahar",""
"Female","556"
"Male","533"
"","1089"
"Musalman",""
"Female","4524"
"Male","3713"
"","8237"
"Newar",""
"Female","130"
"Male","105"
"","235"
"Others",""
"Female","47"
"Male","26"
"","73"
"Punjabi/Sikh",""
"Female","31"
"Male","18"
"","49"
"Rai",""
"Female","48"
"Male","43"
"","91"
"Rajbansi",""
"Female","7"
"Male","4"
"","11"
"Rajdhob",""
"Female","14"
"Male","12"
"","26"
"Rajput",""
"Female","7"
"Male","10"
"","17"
"Sanyasi/Dasnami",""
"Female","11"
"Male","13"
"","24"
"Sarki",""
"Female","10"
"Male","14"
"","24"
"Sonar",""
"Female","27"
"Male","31"
"","58"
"Sudhi",""
"Female","14"
"Male","14"
"","28"
"Sunuwar",""
"Female","8"
"Male","12"
"","20"
"Tamang",""
"Female","63"
"Male","77"
"","140"
"Tatma/Tatwa",""
"Female","224"
"Male","175"
"","399"
"Teli",""
"Female","2583"
"Male","2498"
"","5081"
"Terai Others",""
"Female","9"
"Male","10"
"","19"
"Tharu",""
"Female","6624"
"Male","5603"
"","12227"
"Undefined Others",""
"Female","17"
"Male","23"
"","40"
"Yadav",""
"Female","439"
"Male","399"
"","838"
