"Population by disability type","Number"
"Blind/low vision",""
"Female","84"
"Male","82"
"","166"
"Deaf/hard of hearing",""
"Female","60"
"Male","49"
"","109"
"Deaf-Blind",""
"Female","4"
"Male","5"
"","9"
"Intellectual disable",""
"Female","14"
"Male","16"
"","30"
"Mental disable",""
"Female","38"
"Male","40"
"","78"
"Multiple disable",""
"Female","26"
"Male","34"
"","60"
"No disability",""
"Female","17813"
"Male","14435"
"","32248"
"Physical",""
"Female","120"
"Male","166"
"","286"
"Speech problem",""
"Female","48"
"Male","38"
"","86"
