"Population by disability type","Number"
"Blind/low vision",""
"Female","49"
"Male","60"
"","109"
"Deaf/hard of hearing",""
"Female","35"
"Male","43"
"","78"
"Deaf-Blind",""
"Female","3"
"Male","6"
"","9"
"Intellectual disable",""
"Female","6"
"Male","5"
"","11"
"Mental disable",""
"Female","6"
"Male","11"
"","17"
"Multiple disable",""
"Female","14"
"Male","6"
"","20"
"No disability",""
"Female","7471"
"Male","7250"
"","14721"
"Physical",""
"Female","134"
"Male","141"
"","275"
"Speech problem",""
"Female","8"
"Male","21"
"","29"
