"Population by Educational Attainment","Number"
"Beginners",""
"Female","1827"
"Male","2009"
"Graduate and Equivalent",""
"Female","81"
"Male","264"
"Intermediate and Equivalent",""
"Female","622"
"Male","1141"
"Level not Stated",""
"Female","74"
"Male","69"
"Lower Secondary (Class 6-8)",""
"Female","4784"
"Male","5153"
"Non Formal Education",""
"Female","919"
"Male","692"
"Others",""
"Female","8"
"Male","14"
"Post Graduate Equivalent and Above",""
"Female","20"
"Male","130"
"Primary Education (1-5 Class)",""
"Female","8816"
"Male","9737"
"Secondary Level (Class 9-10)",""
"Female","2377"
"Male","2983"
"SLC and Equivalent",""
"Female","1270"
"Male","1907"
