"Population by disability type","Number"
"Blind/low vision",""
"Female","49"
"Male","59"
"","108"
"Deaf/hard of hearing",""
"Female","31"
"Male","33"
"","64"
"Deaf-Blind",""
"Female","3"
"Male","4"
"","7"
"Intellectual disable",""
"Female","8"
"Male","3"
"","11"
"Mental disable",""
"Female","13"
"Male","21"
"","34"
"Multiple disable",""
"Female","36"
"Male","34"
"","70"
"No disability",""
"Female","20424"
"Male","20856"
"","41280"
"Physical",""
"Female","54"
"Male","90"
"","144"
"Speech problem",""
"Female","34"
"Male","41"
"","75"
