"Population by disability type","Number"
"Blind/low vision",""
"Female","32"
"Male","51"
"","83"
"Deaf/hard of hearing",""
"Female","78"
"Male","80"
"","158"
"Deaf-Blind",""
"Female","5"
"Male","1"
"","6"
"Intellectual disable",""
"Female","16"
"Male","19"
"","35"
"Mental disable",""
"Female","12"
"Male","13"
"","25"
"Multiple disable",""
"Female","17"
"Male","20"
"","37"
"No disability",""
"Female","10739"
"Male","8190"
"","18929"
"Physical",""
"Female","77"
"Male","128"
"","205"
"Speech problem",""
"Female","50"
"Male","61"
"","111"
