"Population by Single Year of Age","Number"
"0",""
"Female","147"
"Male","166"
"1",""
"Female","160"
"Male","188"
"10",""
"Female","329"
"Male","367"
"11",""
"Female","340"
"Male","314"
"12",""
"Female","399"
"Male","377"
"13",""
"Female","373"
"Male","326"
"14",""
"Female","403"
"Male","343"
"15",""
"Female","366"
"Male","303"
"16",""
"Female","362"
"Male","272"
"17",""
"Female","289"
"Male","277"
"18",""
"Female","325"
"Male","289"
"19",""
"Female","197"
"Male","171"
"2",""
"Female","189"
"Male","172"
"20",""
"Female","230"
"Male","158"
"21",""
"Female","203"
"Male","134"
"22",""
"Female","215"
"Male","131"
"23",""
"Female","145"
"Male","85"
"24",""
"Female","179"
"Male","96"
"25",""
"Female","208"
"Male","126"
"26",""
"Female","167"
"Male","76"
"27",""
"Female","144"
"Male","91"
"28",""
"Female","168"
"Male","100"
"29",""
"Female","74"
"Male","71"
"3",""
"Female","180"
"Male","196"
"30",""
"Female","199"
"Male","143"
"31",""
"Female","81"
"Male","56"
"32",""
"Female","148"
"Male","96"
"33",""
"Female","85"
"Male","60"
"34",""
"Female","101"
"Male","61"
"35",""
"Female","256"
"Male","164"
"36",""
"Female","131"
"Male","93"
"37",""
"Female","106"
"Male","85"
"38",""
"Female","150"
"Male","98"
"39",""
"Female","86"
"Male","53"
"4",""
"Female","249"
"Male","239"
"40",""
"Female","319"
"Male","252"
"41",""
"Female","99"
"Male","79"
"42",""
"Female","129"
"Male","116"
"43",""
"Female","94"
"Male","79"
"44",""
"Female","81"
"Male","76"
"45",""
"Female","247"
"Male","197"
"46",""
"Female","75"
"Male","76"
"47",""
"Female","77"
"Male","69"
"48",""
"Female","153"
"Male","128"
"49",""
"Female","66"
"Male","78"
"5",""
"Female","253"
"Male","272"
"50",""
"Female","206"
"Male","196"
"51",""
"Female","71"
"Male","66"
"52",""
"Female","113"
"Male","118"
"53",""
"Female","64"
"Male","68"
"54",""
"Female","58"
"Male","37"
"55",""
"Female","153"
"Male","112"
"56",""
"Female","67"
"Male","89"
"57",""
"Female","60"
"Male","54"
"58",""
"Female","67"
"Male","85"
"59",""
"Female","55"
"Male","45"
"6",""
"Female","277"
"Male","274"
"60",""
"Female","194"
"Male","128"
"61",""
"Female","56"
"Male","62"
"62",""
"Female","74"
"Male","68"
"63",""
"Female","63"
"Male","52"
"64",""
"Female","56"
"Male","40"
"65",""
"Female","117"
"Male","99"
"66",""
"Female","48"
"Male","52"
"67",""
"Female","55"
"Male","39"
"68",""
"Female","80"
"Male","74"
"69",""
"Female","33"
"Male","40"
"7",""
"Female","271"
"Male","256"
"70",""
"Female","151"
"Male","108"
"71",""
"Female","39"
"Male","37"
"72",""
"Female","53"
"Male","56"
"73",""
"Female","36"
"Male","35"
"74",""
"Female","23"
"Male","25"
"75",""
"Female","88"
"Male","77"
"76",""
"Female","23"
"Male","30"
"77",""
"Female","30"
"Male","27"
"78",""
"Female","46"
"Male","40"
"79",""
"Female","12"
"Male","17"
"8",""
"Female","284"
"Male","314"
"80",""
"Female","63"
"Male","25"
"81",""
"Female","11"
"Male","18"
"82",""
"Female","16"
"Male","12"
"83",""
"Female","20"
"Male","18"
"84",""
"Female","17"
"Male","18"
"85",""
"Female","71"
"Male","58"
"9",""
"Female","296"
"Male","273"
