"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","34"
"Male","31"
"Brahman - Hill",""
"Female","669"
"Male","593"
"Chhetri",""
"Female","3967"
"Male","3375"
"Damai/Dholi",""
"Female","250"
"Male","209"
"Gharti/Bhujel",""
"Female","196"
"Male","186"
"Gurung",""
"Female","41"
"Male","29"
"Hyolmo",""
"Female","108"
"Male","102"
"Kami",""
"Female","381"
"Male","365"
"Magar",""
"Female","1325"
"Male","1060"
"Majhi",""
"Female","42"
"Male","37"
"Newar",""
"Female","1272"
"Male","1051"
"Others",""
"Female","27"
"Male","21"
"Sanyasi/Dasnami",""
"Female","61"
"Male","41"
"Sarki",""
"Female","323"
"Male","303"
"Sherpa",""
"Female","12"
"Male","7"
"Sunuwar",""
"Female","794"
"Male","704"
"Tamang",""
"Female","2985"
"Male","2462"
"Terai Others",""
"Female","5"
"Male","6"
"Tharu",""
"Female","2"
"Male","33"
