"Population by disability type","Number"
"Blind/low vision",""
"Female","153"
"Male","92"
"","245"
"Deaf/hard of hearing",""
"Female","79"
"Male","106"
"","185"
"Deaf-Blind",""
"Female","8"
"Male","4"
"","12"
"Intellectual disable",""
"Female","4"
"Male","3"
"","7"
"Mental disable",""
"Female","11"
"Male","15"
"","26"
"Multiple disable",""
"Female","40"
"Male","48"
"","88"
"No disability",""
"Female","12610"
"Male","11027"
"","23637"
"Physical",""
"Female","212"
"Male","213"
"","425"
"Speech problem",""
"Female","16"
"Male","29"
"","45"
