"Population by Educational Attainment","Number"
"Beginners",""
"Female","1612"
"Male","1797"
"","3409"
"Graduate and Equivalent",""
"Female","231"
"Male","517"
"","748"
"Intermediate and Equivalent",""
"Female","904"
"Male","1406"
"","2310"
"Level not Stated",""
"Female","92"
"Male","128"
"","220"
"Lower Secondary (Class 6-8)",""
"Female","4828"
"Male","5492"
"","10320"
"Non Formal Education",""
"Female","1137"
"Male","717"
"","1854"
"Others",""
"Female","21"
"Male","30"
"","51"
"Post Graduate Equivalent and Above",""
"Female","45"
"Male","191"
"","236"
"Primary Education (1-5 Class)",""
"Female","9407"
"Male","10460"
"","19867"
"Secondary Level (Class 9-10)",""
"Female","2493"
"Male","3245"
"","5738"
"SLC and Equivalent",""
"Female","1313"
"Male","1894"
"","3207"
