"Population by disability type","Number"
"Blind/low vision",""
"Female","184"
"Male","156"
"","340"
"Deaf/hard of hearing",""
"Female","126"
"Male","133"
"","259"
"Deaf-Blind",""
"Female","15"
"Male","10"
"","25"
"Intellectual disable",""
"Female","13"
"Male","14"
"","27"
"Mental disable",""
"Female","42"
"Male","52"
"","94"
"Multiple disable",""
"Female","69"
"Male","76"
"","145"
"No disability",""
"Female","40540"
"Male","35690"
"","76230"
"Physical",""
"Female","291"
"Male","388"
"","679"
"Speech problem",""
"Female","96"
"Male","123"
"","219"
