"Population by disability type","Number"
"Blind/low vision",""
"Female","51"
"Male","56"
"","107"
"Deaf/hard of hearing",""
"Female","46"
"Male","56"
"","102"
"Deaf-Blind",""
"Female","2"
"Male","4"
"","6"
"Intellectual disable",""
"Female","19"
"Male","15"
"","34"
"Mental disable",""
"Female","26"
"Male","25"
"","51"
"Multiple disable",""
"Female","24"
"Male","23"
"","47"
"No disability",""
"Female","21511"
"Male","19407"
"","40918"
"Physical",""
"Female","96"
"Male","157"
"","253"
"Speech problem",""
"Female","37"
"Male","68"
"","105"
