"Population by Educational Attainment","Number"
"Beginners",""
"Female","244"
"Male","290"
"Graduate and Equivalent",""
"Female","34"
"Male","63"
"Intermediate and Equivalent",""
"Female","151"
"Male","140"
"Level not Stated",""
"Female","17"
"Male","12"
"Lower Secondary (Class 6-8)",""
"Female","1155"
"Male","1124"
"Non Formal Education",""
"Female","553"
"Male","180"
"Others",""
"Female","1"
"Male","1"
"Post Graduate Equivalent and Above",""
"Female","14"
"Male","15"
"Primary Education (1-5 Class)",""
"Female","2342"
"Male","2366"
"Secondary Level (Class 9-10)",""
"Female","531"
"Male","491"
"SLC and Equivalent",""
"Female","421"
"Male","422"
