"Population by Single Year of Age","Number"
"0",""
"Female","188"
"Male","185"
"1",""
"Female","163"
"Male","155"
"10",""
"Female","211"
"Male","227"
"11",""
"Female","188"
"Male","202"
"12",""
"Female","245"
"Male","236"
"13",""
"Female","207"
"Male","222"
"14",""
"Female","233"
"Male","213"
"15",""
"Female","220"
"Male","221"
"16",""
"Female","207"
"Male","184"
"17",""
"Female","203"
"Male","196"
"18",""
"Female","206"
"Male","149"
"19",""
"Female","162"
"Male","96"
"2",""
"Female","179"
"Male","178"
"20",""
"Female","179"
"Male","104"
"21",""
"Female","155"
"Male","93"
"22",""
"Female","201"
"Male","90"
"23",""
"Female","154"
"Male","83"
"24",""
"Female","160"
"Male","59"
"25",""
"Female","169"
"Male","60"
"26",""
"Female","137"
"Male","69"
"27",""
"Female","142"
"Male","60"
"28",""
"Female","138"
"Male","71"
"29",""
"Female","105"
"Male","59"
"3",""
"Female","161"
"Male","160"
"30",""
"Female","154"
"Male","83"
"31",""
"Female","97"
"Male","49"
"32",""
"Female","123"
"Male","62"
"33",""
"Female","82"
"Male","35"
"34",""
"Female","81"
"Male","52"
"35",""
"Female","162"
"Male","62"
"36",""
"Female","100"
"Male","63"
"37",""
"Female","87"
"Male","52"
"38",""
"Female","98"
"Male","50"
"39",""
"Female","82"
"Male","55"
"4",""
"Female","173"
"Male","174"
"40",""
"Female","152"
"Male","72"
"41",""
"Female","68"
"Male","43"
"42",""
"Female","87"
"Male","59"
"43",""
"Female","82"
"Male","42"
"44",""
"Female","69"
"Male","60"
"45",""
"Female","113"
"Male","82"
"46",""
"Female","74"
"Male","54"
"47",""
"Female","91"
"Male","58"
"48",""
"Female","90"
"Male","68"
"49",""
"Female","75"
"Male","56"
"5",""
"Female","173"
"Male","202"
"50",""
"Female","130"
"Male","85"
"51",""
"Female","80"
"Male","55"
"52",""
"Female","77"
"Male","63"
"53",""
"Female","63"
"Male","47"
"54",""
"Female","57"
"Male","51"
"55",""
"Female","80"
"Male","83"
"56",""
"Female","77"
"Male","64"
"57",""
"Female","56"
"Male","67"
"58",""
"Female","61"
"Male","63"
"59",""
"Female","57"
"Male","54"
"6",""
"Female","186"
"Male","172"
"60",""
"Female","110"
"Male","75"
"61",""
"Female","66"
"Male","55"
"62",""
"Female","69"
"Male","61"
"63",""
"Female","55"
"Male","43"
"64",""
"Female","50"
"Male","41"
"65",""
"Female","76"
"Male","63"
"66",""
"Female","29"
"Male","37"
"67",""
"Female","69"
"Male","63"
"68",""
"Female","40"
"Male","34"
"69",""
"Female","30"
"Male","27"
"7",""
"Female","206"
"Male","182"
"70",""
"Female","72"
"Male","50"
"71",""
"Female","31"
"Male","30"
"72",""
"Female","25"
"Male","34"
"73",""
"Female","21"
"Male","28"
"74",""
"Female","20"
"Male","25"
"75",""
"Female","51"
"Male","22"
"76",""
"Female","19"
"Male","16"
"77",""
"Female","24"
"Male","29"
"78",""
"Female","28"
"Male","31"
"79",""
"Female","14"
"Male","14"
"8",""
"Female","200"
"Male","187"
"80",""
"Female","22"
"Male","24"
"81",""
"Female","14"
"Male","16"
"82",""
"Female","10"
"Male","7"
"83",""
"Female","12"
"Male","9"
"84",""
"Female","16"
"Male","8"
"85",""
"Female","38"
"Male","31"
"9",""
"Female","217"
"Male","199"
