"Population by Single Year of Age","Number"
"0",""
"Female","31"
"Male","32"
"1",""
"Female","16"
"Male","23"
"10",""
"Female","43"
"Male","55"
"11",""
"Female","16"
"Male","20"
"12",""
"Female","40"
"Male","41"
"13",""
"Female","32"
"Male","29"
"14",""
"Female","22"
"Male","27"
"15",""
"Female","28"
"Male","16"
"16",""
"Female","34"
"Male","28"
"17",""
"Female","14"
"Male","15"
"18",""
"Female","19"
"Male","39"
"19",""
"Female","8"
"Male","8"
"2",""
"Female","36"
"Male","28"
"20",""
"Female","18"
"Male","27"
"21",""
"Female","12"
"Male","10"
"22",""
"Female","17"
"Male","10"
"23",""
"Female","15"
"Male","11"
"24",""
"Female","23"
"Male","14"
"25",""
"Female","23"
"Male","32"
"26",""
"Female","18"
"Male","16"
"27",""
"Female","5"
"Male","11"
"28",""
"Female","33"
"Male","30"
"29",""
"Female","5"
"Male","2"
"3",""
"Female","32"
"Male","39"
"30",""
"Female","32"
"Male","25"
"31",""
"Female","2"
"Male","0"
"32",""
"Female","12"
"Male","15"
"33",""
"Female","6"
"Male","12"
"34",""
"Female","7"
"Male","4"
"35",""
"Female","20"
"Male","25"
"36",""
"Female","4"
"Male","7"
"37",""
"Female","6"
"Male","4"
"38",""
"Female","17"
"Male","14"
"39",""
"Female","8"
"Male","3"
"4",""
"Female","41"
"Male","28"
"40",""
"Female","26"
"Male","36"
"41",""
"Female","3"
"Male","6"
"42",""
"Female","4"
"Male","4"
"43",""
"Female","7"
"Male","3"
"44",""
"Female","3"
"Male","3"
"45",""
"Female","24"
"Male","27"
"46",""
"Female","2"
"Male","2"
"47",""
"Female","3"
"Male","3"
"48",""
"Female","12"
"Male","4"
"49",""
"Female","1"
"Male","1"
"5",""
"Female","43"
"Male","67"
"50",""
"Female","15"
"Male","13"
"51",""
"Female","0"
"Male","1"
"52",""
"Female","3"
"Male","6"
"53",""
"Female","3"
"Male","0"
"55",""
"Female","16"
"Male","11"
"56",""
"Female","2"
"Male","3"
"57",""
"Female","0"
"Male","2"
"58",""
"Female","6"
"Male","5"
"59",""
"Female","1"
"Male","1"
"6",""
"Female","42"
"Male","33"
"60",""
"Female","17"
"Male","21"
"61",""
"Female","1"
"Male","2"
"62",""
"Female","5"
"Male","2"
"63",""
"Female","3"
"Male","2"
"64",""
"Female","3"
"Male","1"
"65",""
"Female","18"
"Male","9"
"66",""
"Female","2"
"Male","2"
"67",""
"Female","1"
"Male","1"
"68",""
"Female","3"
"Male","2"
"7",""
"Female","25"
"Male","30"
"70",""
"Female","3"
"Male","16"
"71",""
"Female","2"
"Male","0"
"72",""
"Female","3"
"Male","3"
"73",""
"Female","1"
"Male","1"
"75",""
"Female","4"
"Male","5"
"76",""
"Female","4"
"Male","2"
"77",""
"Female","1"
"Male","1"
"78",""
"Female","2"
"Male","1"
"79",""
"Female","0"
"Male","1"
"8",""
"Female","44"
"Male","51"
"80",""
"Female","1"
"Male","5"
"81",""
"Female","0"
"Male","2"
"82",""
"Female","0"
"Male","1"
"85",""
"Female","3"
"Male","2"
"9",""
"Female","19"
"Male","23"
