"Population by disability type","Number"
"Blind/low vision",""
"Female","198"
"Male","174"
"","372"
"Deaf/hard of hearing",""
"Female","220"
"Male","284"
"","504"
"Deaf-Blind",""
"Female","19"
"Male","26"
"","45"
"Intellectual disable",""
"Female","18"
"Male","22"
"","40"
"Mental disable",""
"Female","22"
"Male","35"
"","57"
"Multiple disable",""
"Female","61"
"Male","57"
"","118"
"No disability",""
"Female","26392"
"Male","26523"
"","52915"
"Physical",""
"Female","253"
"Male","368"
"","621"
"Speech problem",""
"Female","60"
"Male","100"
"","160"
