"Population by disability type","Number"
"Blind/low vision",""
"Female","52"
"Male","68"
"","120"
"Deaf/hard of hearing",""
"Female","51"
"Male","38"
"","89"
"Deaf-Blind",""
"Female","17"
"Male","19"
"","36"
"Intellectual disable",""
"Female","9"
"Male","6"
"","15"
"Mental disable",""
"Female","15"
"Male","15"
"","30"
"Multiple disable",""
"Female","27"
"Male","22"
"","49"
"No disability",""
"Female","11818"
"Male","10270"
"","22088"
"Physical",""
"Female","94"
"Male","98"
"","192"
"Speech problem",""
"Female","46"
"Male","47"
"","93"
