"Population by disability type","Number"
"Blind/low vision",""
"Female","22"
"Male","35"
"","57"
"Deaf/hard of hearing",""
"Female","21"
"Male","26"
"","47"
"Deaf-Blind",""
"Female","1"
"Male","4"
"","5"
"Intellectual disable",""
"Female","1"
"Male","5"
"","6"
"Mental disable",""
"Female","9"
"Male","10"
"","19"
"Multiple disable",""
"Female","9"
"Male","15"
"","24"
"No disability",""
"Female","12623"
"Male","12303"
"","24926"
"Physical",""
"Female","44"
"Male","69"
"","113"
"Speech problem",""
"Female","21"
"Male","38"
"","59"
