"Population by disability type","Number"
"Blind/low vision",""
"Female","21"
"Male","25"
"","46"
"Deaf/hard of hearing",""
"Female","22"
"Male","30"
"","52"
"Deaf-Blind",""
"Female","1"
"Male","3"
"","4"
"Intellectual disable",""
"Female","4"
"Male","2"
"","6"
"Mental disable",""
"Female","12"
"Male","13"
"","25"
"Multiple disable",""
"Female","7"
"Male","7"
"","14"
"No disability",""
"Female","5346"
"Male","4246"
"","9592"
"Physical",""
"Female","47"
"Male","53"
"","100"
"Speech problem",""
"Female","6"
"Male","13"
"","19"
