"Population by disability type","Number"
"Blind/low vision",""
"Female","27"
"Male","21"
"","48"
"Deaf/hard of hearing",""
"Female","32"
"Male","36"
"","68"
"Deaf-Blind",""
"Female","0"
"Male","2"
"","2"
"Intellectual disable",""
"Female","3"
"Male","7"
"","10"
"Mental disable",""
"Female","4"
"Male","2"
"","6"
"Multiple disable",""
"Female","12"
"Male","13"
"","25"
"No disability",""
"Female","8643"
"Male","7967"
"","16610"
"Physical",""
"Female","77"
"Male","76"
"","153"
"Speech problem",""
"Female","27"
"Male","19"
"","46"
