"Population by Educational Attainment","Number"
"Beginners",""
"Female","185"
"Male","193"
"","378"
"Graduate and Equivalent",""
"Female","9"
"Male","61"
"","70"
"Intermediate and Equivalent",""
"Female","132"
"Male","200"
"","332"
"Level not Stated",""
"Female","33"
"Male","29"
"","62"
"Lower Secondary (Class 6-8)",""
"Female","779"
"Male","924"
"","1703"
"Non Formal Education",""
"Female","347"
"Male","380"
"","727"
"Others",""
"Female","2"
"Male","3"
"","5"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","12"
"","15"
"Primary Education (1-5 Class)",""
"Female","2130"
"Male","2333"
"","4463"
"Secondary Level (Class 9-10)",""
"Female","274"
"Male","358"
"","632"
"SLC and Equivalent",""
"Female","244"
"Male","413"
"","657"
