"Population by disability type","Number"
"Blind/low vision",""
"Female","34"
"Male","32"
"","66"
"Deaf/hard of hearing",""
"Female","13"
"Male","12"
"","25"
"Deaf-Blind",""
"Female","3"
"Male","7"
"","10"
"Intellectual disable",""
"Female","5"
"Male","10"
"","15"
"Mental disable",""
"Female","10"
"Male","3"
"","13"
"Multiple disable",""
"Female","14"
"Male","15"
"","29"
"No disability",""
"Female","8442"
"Male","7993"
"","16435"
"Physical",""
"Female","66"
"Male","100"
"","166"
"Speech problem",""
"Female","19"
"Male","22"
"","41"
