"Population by Educational Attainment","Number"
"Beginners",""
"Female","130"
"Male","123"
"Graduate and Equivalent",""
"Female","23"
"Male","57"
"Intermediate and Equivalent",""
"Female","159"
"Male","160"
"Level not Stated",""
"Female","72"
"Male","46"
"Lower Secondary (Class 6-8)",""
"Female","1619"
"Male","1311"
"Non Formal Education",""
"Female","527"
"Male","456"
"Others",""
"Female","4"
"Male","3"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","18"
"Primary Education (1-5 Class)",""
"Female","2372"
"Male","2283"
"Secondary Level (Class 9-10)",""
"Female","765"
"Male","683"
"SLC and Equivalent",""
"Female","418"
"Male","487"
