"Population by disability type","Number"
"Blind/low vision",""
"Female","62"
"Male","50"
"","112"
"Deaf/hard of hearing",""
"Female","45"
"Male","43"
"","88"
"Deaf-Blind",""
"Female","12"
"Male","9"
"","21"
"Intellectual disable",""
"Female","8"
"Male","10"
"","18"
"Mental disable",""
"Female","13"
"Male","5"
"","18"
"Multiple disable",""
"Female","19"
"Male","27"
"","46"
"No disability",""
"Female","10503"
"Male","8938"
"","19441"
"Physical",""
"Female","107"
"Male","99"
"","206"
"Speech problem",""
"Female","23"
"Male","36"
"","59"
