"Population by disability type","Number"
"Blind/low vision",""
"Female","899"
"Male","930"
"","1829"
"Deaf/hard of hearing",""
"Female","510"
"Male","529"
"","1039"
"Deaf-Blind",""
"Female","70"
"Male","105"
"","175"
"Intellectual disable",""
"Female","97"
"Male","140"
"","237"
"Mental disable",""
"Female","271"
"Male","391"
"","662"
"Multiple disable",""
"Female","412"
"Male","443"
"","855"
"No disability",""
"Female","323327"
"Male","303639"
"","626966"
"Physical",""
"Female","1191"
"Male","1751"
"","2942"
"Speech problem",""
"Female","339"
"Male","583"
"","922"
