"Population by Educational Attainment","Number"
"Beginners",""
"Female","308"
"Male","305"
"","613"
"Graduate and Equivalent",""
"Female","48"
"Male","90"
"","138"
"Intermediate and Equivalent",""
"Female","167"
"Male","272"
"","439"
"Level not Stated",""
"Female","15"
"Male","8"
"","23"
"Lower Secondary (Class 6-8)",""
"Female","2027"
"Male","1791"
"","3818"
"Non Formal Education",""
"Female","898"
"Male","472"
"","1370"
"Others",""
"Female","1"
"Male","0"
"","1"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","30"
"","35"
"Primary Education (1-5 Class)",""
"Female","4367"
"Male","4409"
"","8776"
"Secondary Level (Class 9-10)",""
"Female","930"
"Male","723"
"","1653"
"SLC and Equivalent",""
"Female","627"
"Male","658"
"","1285"
