"Population by Educational Attainment","Number"
"Beginners",""
"Female","307"
"Male","321"
"Graduate and Equivalent",""
"Female","22"
"Male","73"
"Intermediate and Equivalent",""
"Female","119"
"Male","282"
"Level not Stated",""
"Female","8"
"Male","7"
"Lower Secondary (Class 6-8)",""
"Female","624"
"Male","1005"
"Non Formal Education",""
"Female","252"
"Male","104"
"Others",""
"Female","0"
"Male","2"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","18"
"Primary Education (1-5 Class)",""
"Female","1937"
"Male","2349"
"Secondary Level (Class 9-10)",""
"Female","295"
"Male","559"
"SLC and Equivalent",""
"Female","129"
"Male","340"
